order_id	quantity	item_name	choice_description	item_price	date
21	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 	2025-03-22
21	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Fajita Veggies, Cheese]]	$8.99 	2025-03-22
21	1	Izze	[Blackberry]	$3.39 	2025-03-22
22	1	Steak Burrito	[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Sour Cream]]	$8.99 	2025-01-07
22	1	Chips and Guacamole		$3.99 	2025-01-07
23	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99 	2025-07-09
23	2	Canned Soda	[Mountain Dew]	$2.18 	2025-07-09
24	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 	2025-06-01
24	1	Canned Soda	[Sprite]	$1.09 	2025-06-01
25	1	Steak Bowl	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream]]	$8.99 	2025-10-02
25	1	Chips and Fresh Tomato Salsa		$2.39 	2025-10-02
26	1	Barbacoa Soft Tacos	[Fresh Tomato Salsa, [Fajita Vegetables, Black Beans, Lettuce]]	$9.25 	2025-04-02
26	1	Veggie Burrito	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 	2025-04-02
27	1	Barbacoa Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 	2025-01-29
27	1	Chips		$2.15 	2025-01-29
28	1	Chips and Guacamole		$4.45 	2025-02-05
28	1	Steak Soft Tacos	[Fresh Tomato Salsa, Cheese]	$9.25 	2025-02-05
28	1	Veggie Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 	2025-02-05
28	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]	$8.75 	2025-02-05
29	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99 	2025-01-17
29	1	Steak Soft Tacos	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]	$8.99 	2025-01-17
30	1	Izze	[Blackberry]	$3.39 	2025-06-11
30	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese]]	$8.99 	2025-06-11
30	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 	2025-06-11
31	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]	$8.99 	2025-08-04
31	1	Side of Chips		$1.69 	2025-08-04
32	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.99 	2025-11-30
32	1	Chips and Guacamole		$3.99 	2025-11-30
33	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75 	2025-05-24
33	1	Chips and Guacamole		$4.45 	2025-05-24
34	1	Chicken Soft Tacos	[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]	$8.75 	2026-01-02
34	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Lettuce]]	$8.75 	2026-01-02
34	1	Chips		$2.15 	2026-01-02
34	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 	2026-01-02
35	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]	$11.25 	2025-01-23
35	1	Chips		$2.15 	2025-01-23
36	1	Barbacoa Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]	$9.25 	2025-10-21
36	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 	2025-10-21
37	1	Chicken Burrito	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese]]	$8.75 	2025-11-15
37	1	Steak Soft Tacos	[Tomatillo Red Chili Salsa]	$9.25 	2025-11-15
38	1	Veggie Bowl	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Black Beans, Rice, Fajita Veggies, Lettuce]]	$8.49 	2025-07-30
38	1	Steak Bowl	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce]]	$8.99 	2025-07-30
38	1	Bottled Water		$1.09 	2025-07-30
39	1	Carnitas Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]	$9.25 	2025-04-19
39	1	Chips and Fresh Tomato Salsa		$2.95 	2025-04-19
40	1	Steak Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]	$11.75 	2025-03-02
40	1	Steak Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole]]	$11.75 	2025-03-02
40	1	Steak Crispy Tacos	[Fresh Tomato Salsa, Sour Cream]	$9.25 	2025-03-02
41	1	Carnitas Burrito	[Roasted Chili Corn Salsa, [Sour Cream, Guacamole]]	$11.75 	2025-12-15
41	1	Chips and Guacamole		$4.45 	2025-12-15
42	1	Barbacoa Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]	$9.25 	2025-10-31
42	1	Chips and Guacamole		$4.45 	2025-10-31
43	1	Carnitas Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.75 	2025-07-03
43	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]	$8.75 	2025-07-03
44	1	Chicken Bowl	[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Sour Cream, Lettuce]]	$8.75 	2025-08-21
44	1	Chips and Guacamole		$4.45 	2025-08-21
45	1	Steak Burrito	[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]	$8.99 	2025-02-23
45	1	Steak Bowl	[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]	$8.99 	2025-02-23
45	1	Chips and Guacamole		$3.99 	2025-02-23
46	1	Veggie Burrito	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Sour Cream, Lettuce]]	$8.49 	2026-01-08
46	1	Nantucket Nectar	[Pineapple Orange Banana]	$3.39 	2026-01-08
47	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]	$8.99 	2025-02-16
47	1	Canned Soda	[Dr. Pepper]	$1.09 	2025-02-16
48	1	Steak Burrito	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]	$9.25 	2025-10-28
48	1	Chips and Guacamole		$4.45 	2025-10-28
49	1	Chicken Bowl	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 	2025-04-12
49	1	Chips and Tomatillo Red Chili Salsa		$2.95 	2025-04-12
49	1	Chips and Guacamole		$4.45 	2025-04-12
50	1	Chips and Tomatillo-Green Chili Salsa		$2.39 	2025-03-05
50	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]	$8.49 	2025-03-05
51	1	Barbacoa Bowl	[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99 	2025-12-02
51	1	Chicken Burrito	[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Cheese, Lettuce]]	$8.49 	2025-12-02
51	1	Canned Soda	[Diet Dr. Pepper]	$1.09 	2025-12-02
52	1	Steak Soft Tacos	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Cheese, Sour Cream, Lettuce]]	$8.99 	2025-06-11
52	1	Chips and Guacamole		$3.99 	2025-06-11
53	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]	$8.75 	2025-06-10
53	1	Barbacoa Burrito	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]	$9.25 	2025-06-10
53	1	Chips and Guacamole		$4.45 	2025-06-10
54	1	Chicken Bowl	[Fresh Tomato Salsa, [Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice]]	$11.25 	2025-01-24
54	1	Chips and Guacamole		$4.45 	2025-01-24
55	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Fajita Veggies, Sour Cream]]	$8.99 	2026-01-29
55	1	Canned Soda	[Coca Cola]	$1.09 	2026-01-29
56	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]	$9.25 	2025-10-22
56	1	Chips and Tomatillo Red Chili Salsa		$2.95 	2025-10-22
56	1	Chips and Guacamole		$4.45 	2025-10-22
57	1	Barbacoa Burrito	[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]	$11.75 	2025-12-09
57	1	Chips and Guacamole		$4.45 	2025-12-09
58	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]	$8.49 	2025-04-18
58	1	Chips and Tomatillo-Green Chili Salsa		$2.39 	2025-04-18
59	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]	$10.98 	2025-04-10
60	2	Chicken Salad Bowl	[Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]	$22.50 	2025-08-08
61	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 	2025-03-04
61	1	Chips and Guacamole		$4.45 	2025-03-04
62	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole]]	$11.25 	2025-07-26
62	1	Chips and Guacamole		$4.45 	2025-07-26
63	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]	$11.25 	2026-01-05
63	1	Chips and Guacamole		$4.45 	2026-01-05
64	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.25 	2025-07-26
64	1	Veggie Bowl	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce]]	$11.25 	2025-07-26
65	1	Barbacoa Burrito	[Tomatillo Red Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]	$11.75 	2025-03-26
65	1	Carnitas Bowl	[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese]]	$9.25 	2025-03-26
65	1	Chips and Guacamole		$4.45 	2025-03-26
66	1	Steak Burrito	[Tomatillo-Green Chili Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]	$11.48 	2025-09-21
67	2	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]	$17.98 	2025-12-28
67	1	Side of Chips		$1.69 	2025-12-28
68	2	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]	$17.50 	2025-04-16
68	1	Chips and Guacamole		$4.45 	2025-04-16
69	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]	$8.49 	2025-02-01
69	1	Chips and Tomatillo-Green Chili Salsa		$2.39 	2025-02-01
70	2	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Lettuce]]	$17.50 	2025-06-26
70	1	Chips and Guacamole		$4.45 	2025-06-26
71	1	Chips and Guacamole		$4.45 	2025-05-16
71	1	Veggie Bowl	[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.25 	2025-05-16
71	1	Steak Burrito	[Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole, Lettuce]]	$11.75 	2025-05-16
72	1	Chicken Burrito	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 	2025-09-30
73	1	Chicken Bowl	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.49 	2025-05-18
73	1	Chicken Burrito	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce]]	$10.98 	2025-05-18
73	2	Canned Soda	[Diet Coke]	$2.18 	2025-05-18
74	1	Carnitas Bowl	[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.48 	2025-12-11
74	1	Veggie Bowl	[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.49 	2025-12-11
74	1	Chips and Tomatillo-Green Chili Salsa		$2.39 	2025-12-11
75	1	Chips and Guacamole		$4.45 	2025-03-17
75	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.25 	2025-03-17
75	1	Barbacoa Crispy Tacos	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]	$11.75 	2025-03-17
75	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream]]	$8.75 	2025-03-17
76	1	Chicken Burrito	[[Tomatillo-Red Chili Salsa (Hot), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Cheese, Lettuce]]	$8.49 	2025-10-02
76	2	Canned Soda	[Diet Dr. Pepper]	$2.18 	2025-10-02
77	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.49 	2025-02-13
77	1	Nantucket Nectar	[Apple]	$3.39 	2025-02-13
78	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), Lettuce]	$8.49 	2025-03-14
78	1	Steak Soft Tacos	[Roasted Chili Corn Salsa (Medium), Lettuce]	$8.99 	2025-03-14
79	1	Chicken Bowl	[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]	$10.98 	2025-10-14
80	1	Steak Burrito	[Fresh Tomato Salsa (Mild), [Rice, Black Beans, Sour Cream, Guacamole]]	$11.48 	2025-01-22
81	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream]]	$8.49 	2025-09-05
81	1	Canned Soda	[Coca Cola]	$1.09 	2025-09-05
81	1	Canned Soda	[Dr. Pepper]	$1.09 	2025-09-05
82	1	Barbacoa Soft Tacos	[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]	$9.25 	2025-11-09
82	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream]]	$8.75 	2025-11-09
82	1	Chips and Fresh Tomato Salsa		$2.95 	2025-11-09
83	1	Steak Soft Tacos	[Fresh Tomato Salsa, [Cheese, Sour Cream]]	$9.25 	2025-02-09
83	1	Chips and Guacamole		$4.45 	2025-02-09
83	1	Veggie Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 	2025-02-09
84	1	Steak Bowl	[Fresh Tomato Salsa (Mild), [Rice, Fajita Veggies, Guacamole, Lettuce]]	$11.48 	2025-06-03
84	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]	$8.49 	2025-06-03
84	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Cheese, Lettuce]]	$8.49 	2025-06-03
85	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Fajita Veggies, Cheese, Lettuce, Sour Cream, Rice]]	$8.99 	2025-03-30
85	1	Chips and Roasted Chili-Corn Salsa		$2.39 	2025-03-30
86	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 	2025-09-15
86	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]	$8.75 	2025-09-15
86	1	Chips and Fresh Tomato Salsa		$2.95 	2025-09-15
87	1	Canned Soda	[Coca Cola]	$1.09 	2025-08-07
87	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]	$8.99 	2025-08-07
88	1	Chicken Burrito	[Tomatillo-Green Chili Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream]]	$8.49 	2025-04-26
88	1	Chips and Tomatillo-Green Chili Salsa		$2.39 	2025-04-26
89	1	Chicken Bowl	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Fajita Veggies, Guacamole, Lettuce]]	$10.98 	2025-11-17
89	1	Canned Soda	[Diet Coke]	$1.09 	2025-11-17
89	1	Chips and Guacamole		$3.99 	2025-11-17
90	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]	$11.25 	2025-12-26
90	1	Chicken Burrito	[Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Sour Cream, Cheese, Lettuce]]	$8.75 	2025-12-26
91	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.49 	2025-09-24
91	1	Nantucket Nectar	[Peach Orange]	$3.39 	2025-09-24
92	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Cheese, Lettuce]]	$8.75 	2025-07-08
92	1	Steak Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$9.25 	2025-07-08
92	1	Chips		$2.15 	2025-07-08
93	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 	2026-01-05
93	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 	2026-01-05
93	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25 	2026-01-05
93	1	Chips and Guacamole		$4.45 	2026-01-05
94	2	Chicken Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Pinto Beans, Guacamole]]	$22.50 	2025-04-25
95	1	Chips and Guacamole		$4.45 	2026-01-23
95	1	Steak Bowl	[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.75 	2026-01-23
96	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75 	2025-02-14
96	2	Chicken Crispy Tacos	[Tomatillo Red Chili Salsa, [Cheese, Sour Cream, Lettuce]]	$17.50 	2025-02-14
96	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75 	2025-02-14
97	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]	$9.25 	2025-09-07
97	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75 	2025-09-07
97	1	Chips		$2.15 	2025-09-07
98	1	Barbacoa Burrito	[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]	$9.25 	2025-12-29
98	2	Chips		$4.30 	2025-12-29
98	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Sour Cream, Lettuce]]	$8.75 	2025-12-29
99	1	Veggie Burrito	[Tomatillo Red Chili Salsa, [Black Beans, Cheese, Guacamole]]	$11.25 	2025-08-31
99	1	Chips		$2.15 	2025-08-31
100	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]	$8.99 	2025-12-23
100	1	Canned Soda	[Mountain Dew]	$1.09 	2025-12-23
101	1	Steak Burrito	[Tomatillo-Green Chili Salsa (Medium), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.99 	2026-01-08
101	1	Chips and Guacamole		$3.99 	2026-01-08
102	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75 	2025-08-16
102	1	Chips and Tomatillo Green Chili Salsa		$2.95 	2025-08-16
102	1	Chips and Roasted Chili Corn Salsa		$2.95 	2025-08-16
103	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75 	2025-07-22
103	2	Chips and Tomatillo Green Chili Salsa		$5.90 	2025-07-22
103	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese]]	$9.25 	2025-07-22
103	1	Carnitas Soft Tacos	[Tomatillo Green Chili Salsa, [Fajita Vegetables, Pinto Beans, Cheese]]	$9.25 	2025-07-22
